,text,intent,fromloc.city_name,depart_time.time,toloc.city_name,arrive_time.time,arrive_time.period_of_day,depart_date.day_name,depart_time.period_of_day,flight_time,cost_relative,round_trip,fare_amount,depart_date.today_relative,city_name,stoploc.city_name,toloc.airport_code,depart_time.time_relative,class_type,depart_date.date_relative,airline_name,arrive_time.time_relative,depart_time.start_time,depart_time.end_time,fromloc.airport_name,toloc.state_name,depart_date.day_number,depart_date.month_name,mod,fare_basis_code,transport_type,flight_mod,arrive_date.month_name,arrive_date.day_number,meal,toloc.state_code,meal_description,return_date.month_name,return_date.day_number,airline_code,depart_time.period_mod,flight_stop,fromloc.airport_code,arrive_date.day_name,time,or,economy,flight_number,arrive_time.period_mod,flight_days,toloc.airport_name,state_code,arrive_time.start_time,arrive_time.end_time,fromloc.state_name,arrive_date.date_relative,depart_date.year,return_date.date_relative,airport_code,aircraft_code,fromloc.state_code,connect,restriction_code,airport_name,toloc.country_name,days_code,day_name,period_of_day,today_relative,stoploc.state_code,meal_code,state_name,stoploc.airport_name,arrive_date.today_relative,time_relative,return_time.period_of_day,return_time.period_mod,month_name,day_number,return_date.today_relative,return_date.day_name
32,flights from new york to miami,flight,new york,,miami,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,please find a flight on delta from philadelphia to san francisco and give me the flight numbers,flight,philadelphia,,san francisco,,,,,,,,,,,,,,,,delta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,i need a flight from dallas to san francisco,flight,dallas,,san francisco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,fares and flights from pittsburgh to philadelphia,airfare,pittsburgh,,philadelphia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,show me the airlines with first class flights,airline,,,,,,,,,,,,,,,,,first class,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,what are the flights from st. louis to burbank sunday evening,flight,st. louis,,burbank,,,sunday,evening,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,i 'd like to arrange a flight from pittsburgh to atlanta,flight,pittsburgh,,atlanta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,show flights from baltimore to san francisco between 6 pm and 8 pm on friday,flight,baltimore,,san francisco,,,friday,,,,,,,,,,,,,,,6 pm,8 pm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,how far is it from orlando airport to orlando,distance,,,orlando,,,,,,,,,,,,,,,,,,,,orlando airport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,i would like a list of round trip flights between indianapolis and orlando florida for the twenty seventh and the twenty eighth of december,flight,indianapolis,,orlando,,,,,,,round trip,,,,,,,,,,,,,,florida,twenty eighth,december,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,which airline has the most arrivals in atlanta,airline,,,atlanta,,,,,,,,,,,,,,,,,,,,,,,,most,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,what airlines fly from new york to milwaukee to los angeles,airline,new york,,los angeles,,,,,,,,,,,milwaukee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,pittsburgh to denver,flight,pittsburgh,,denver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,which airlines serve atlanta,airline,,,,,,,,,,,,,atlanta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,show me information on ground transportation for dallas,ground_service,,,,,,,,,,,,,dallas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,what is fare code h,abbreviation,,,,,,,,,,,,,,,,,,,,,,,,,,,,h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,show me all flights from boston to dallas fort worth both direct and connecting that arrive before noon,flight,boston,,dallas fort worth,noon,,,,,,,,,,,,,,,,before,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,i need a flight from charlotte to newark leaving today evening,flight,charlotte,,newark,,,,evening,,,,,today,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,what are the times that you have planes leaving from san francisco going to pittsburgh on july seventh,flight_time,san francisco,,pittsburgh,,,,,times,,,,,,,,,,,,,,,,,seventh,july,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,flights from newark to cleveland,flight,newark,,cleveland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,what flights go from boston to pittsburgh after 6 o'clock next tuesday,flight,boston,6 o'clock,pittsburgh,,,tuesday,,,,,,,,,,after,,next,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,how much does the limousine service cost within pittsburgh,ground_fare,,,,,,,,,,,,,pittsburgh,,,,,,,,,,,,,,,,limousine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,does us air have any flights out of atlanta to denver,flight,atlanta,,denver,,,,,,,,,,,,,,,,us air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,what is booking class c,abbreviation,,,,,,,,,,,,,,,,,,,,,,,,,,,,c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,i 'd like to know the shortest trip between boston and san francisco,flight,boston,,san francisco,,,,,,,,,,,,,,,,,,,,,,,,,,,shortest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,i would like to see information for flights from san francisco leaving after 12 pm to pittsburgh on monday,flight,san francisco,12 pm,pittsburgh,,,monday,,,,,,,,,,after,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,what is the least expensive flight from denver to atlanta,flight,denver,,atlanta,,,,,,least expensive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,i need to know information for flights leaving dallas on tuesday evening and returning to atlanta,flight,dallas,,atlanta,,,tuesday,evening,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,what flight goes from denver to baltimore first class on united airlines arriving on may seventh,flight,denver,,baltimore,,,,,,,,,,,,,,first class,,united airlines,,,,,,,,,,,,may,seventh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,could you please tell me the airlines that fly from toronto to san diego,airline,toronto,,san diego,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,what flights do you have from burbank to tacoma washington,flight,burbank,,tacoma,,,,,,,,,,,,,,,,,,,,,washington,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,what is the ground transportation from philadelphia airport to the city proper,ground_service,,,,,,,,,,,,,,,,,,,,,,,philadelphia airport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,which airlines have first class flights today,airline,,,,,,,,,,,,today,,,,,first class,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,find the latest flight from san francisco to atlanta that serves a meal,flight,san francisco,,atlanta,,,,,,,,,,,,,,,,,,,,,,,,,,,latest,,,meal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,i would like to make a reservation for a flight to denver from philadelphia on this coming sunday,flight,philadelphia,,denver,,,sunday,,,,,,,,,,,,this,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,give me a list of airports in baltimore,airport,,,,,,,,,,,,,baltimore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,show me flights from boston to denver on wednesday,flight,boston,,denver,,,wednesday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,show me the flights from boston to baltimore,flight,boston,,baltimore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,what does fare code q mean,abbreviation,,,,,,,,,,,,,,,,,,,,,,,,,,,,q,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,please give me the flights from san francisco to washington dc,flight,san francisco,,washington,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,i need information from denver to pittsburgh,flight,denver,,pittsburgh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,from seattle to salt lake city,flight,seattle,,salt lake city,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,what is the earliest flight from boston to bwi that serves a snack,flight,boston,,,,,,,,,,,,,,bwi,,,,,,,,,,,,,,,earliest,,,,,snack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,what types of aircraft does delta fly,aircraft,,,,,,,,,,,,,,,,,,,delta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,what is the cost of a round trip flight from pittsburgh to atlanta beginning on april twenty fifth and returning on may sixth,airfare,pittsburgh,,atlanta,,,,,,,round trip,,,,,,,,,,,,,,,twenty fifth,april,,,,,,,,,,may,sixth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,give me the flights leaving denver august ninth coming back to boston,flight,denver,,boston,,,,,,,,,,,,,,,,,,,,,,ninth,august,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,list all the flights that fly into general mitchell international,flight,,,,,,,,,,,,,,,,,,,,,,,general mitchell international,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,what flights fly from denver to san francisco on monday tuesday wednesday thursday and friday,flight,denver,,san francisco,,,friday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,list all flights from indianapolis to seattle,flight,indianapolis,,seattle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,in flight meal oakland to philadelphia saturday,flight,oakland,,philadelphia,,,saturday,,,,,,,,,,,,,,,,,,,,,,,,,,,meal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,show me the flights on twa from atlanta in the morning,flight,atlanta,,,,,,morning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,twa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,i want to find the first flight from baltimore to boston that serves a meal,flight,baltimore,,boston,,,,,,,,,,,,,,,,,,,,,,,,,,,first,,,meal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,of all airlines which airline has the most arrivals in atlanta,airline,,,atlanta,,,,,,,,,,,,,,,,,,,,,,,,most,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,display all flights from baltimore to boston on july twenty ninth,flight,baltimore,,boston,,,,,,,,,,,,,,,,,,,,,,twenty ninth,july,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,i want to travel from atlanta to baltimore early in the morning first flight,flight,atlanta,,baltimore,,,,morning,,,,,,,,,,,,,,,,,,,,,,,first,,,,,,,,,early,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,i now need a flight from san jose to houston leaving on sunday the fourth,flight,san jose,,houston,,,sunday,,,,,,,,,,,,,,,,,,,fourth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,what are the flights available after 6 pm between san francisco and boston,flight,san francisco,6 pm,boston,,,,,,,,,,,,,after,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,what flights depart baltimore on friday and arrive in san francisco by 8 pm,flight,baltimore,,san francisco,8 pm,,friday,,,,,,,,,,,,,,by,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,show me flights from boston to san francisco,flight,boston,,san francisco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,list the delta airlines flights from boston to philadelphia,flight,boston,,philadelphia,,,,,,,,,,,,,,,,delta airlines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,show me the fares from dallas to san francisco,airfare,dallas,,san francisco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,what nonstop flights between boston and washington arrive after 4 o'clock pm,flight,boston,,washington,4 o'clock pm,,,,,,,,,,,,,,,,after,,,,,,,,,,,,,,,,,,,,nonstop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,what is the distance from los angeles international airport to los angeles,distance,,,los angeles,,,,,,,,,,,,,,,,,,,,los angeles international airport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,ground transportation in san jose,ground_service,,,,,,,,,,,,,san jose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,please tell me how many nonstop flights there are from boston to atlanta,quantity,boston,,atlanta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nonstop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,on the earliest flight from san francisco to atlanta on delta is a meal being served,flight,san francisco,,atlanta,,,,,,,,,,,,,,,,delta,,,,,,,,,,,earliest,,,meal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,where does canadian airlines international fly,flight,,,,,,,,,,,,,,,,,,,canadian airlines international,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,what flights from denver to pittsburgh arrive before 8 in the morning,flight,denver,,pittsburgh,8,morning,,,,,,,,,,,,,,,before,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,find me the earliest flight from boston to atlanta,flight,boston,,atlanta,,,,,,,,,,,,,,,,,,,,,,,,,,,earliest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,list nonstop flights from houston to dallas which arrive before midnight,flight,houston,,dallas,,midnight,,,,,,,,,,,,,,,before,,,,,,,,,,,,,,,,,,,,nonstop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,show me the flights from boston to san francisco that stop in atlanta,flight,boston,,san francisco,,,,,,,,,,,atlanta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,show me flights to san francisco from philadelphia stopping in dallas,flight,philadelphia,,san francisco,,,,,,,,,,,dallas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,what city is the airport mco in,city,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,how much does it cost to rent a car in tacoma,ground_fare,,,,,,,,,,,,,tacoma,,,,,,,,,,,,,,,,car,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,show me flights from baltimore to dallas,flight,baltimore,,dallas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,show me a list of ground transportation at denver,ground_service,,,,,,,,,,,,,denver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,i 'd like a flight from columbus to phoenix stopping in cincinnati and serving dinner what 's available,flight,columbus,,phoenix,,,,,,,,,,,cincinnati,,,,,,,,,,,,,,,,,,,,,dinner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,also show me flights from san francisco to pittsburgh on tuesday,flight,san francisco,,pittsburgh,,,tuesday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,show flights from dallas to oakland,flight,dallas,,oakland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,give me the cheapest flight from charlotte to long beach,flight,charlotte,,long beach,,,,,,cheapest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
